Y	X	Z
8571.97	-35.66	-39.46
8665.96	-36.48	-40.48
8759.96	-37.21	-41.36
8853.95	-37.91	-42.05
8947.95	-38.49	-42.63
9041.95	-38.89	-43.24
9135.95	-39.16	-43.93
9229.95	-39.28	-44.64
9323.95	-39.18	-45.2
9417.95	-39	-45.66
9512.95	-38.72	-46.06
9606.95	-38.52	-46.31
9700.95	-38.49	-46.39
9794.95	-38.56	-46.62
9803.95	-38.58	-46.66
9834.95	-38.57	-46.84
9865.91	-37.62	-47.81
9897.67	-34.58	-50.15
9928.05	-29.52	-53.61
9957.93	-22.73	-58.31
9988.21	-14.23	-64.18
10016.99	-4.53	-70.39
10046	7.03	-77.35
10073.36	19.51	-84.88
10100.23	32.84	-92.69
10127.62	47.32	-100.72
10153.6	61.94	-109.19
10178.89	76.88	-119.1
10204.39	92.58	-130.36
10228.48	108.29	-141.93
10252.54	125.21	-154.54
10275.21	142.31	-166.96
10297.21	160.14	-179.58
10318.87	179.49	-193
10339.08	198.83	-206.37
10358.59	218.57	-220.17
10377.33	239.93	-234.87
10394.35	261.41	-249.36
10410.88	284.19	-264.58
10425.62	307.04	-279.47
10439.04	330.64	-294.42
10451.23	355.74	-310.07
10461.3	380.78	-325.32
10469.87	406.41	-340.51
10477.55	433.19	-356.25
10483.73	459.41	-371.57
10488.38	486.91	-387.26
10491.08	513.98	-402.11
10492.86	558.94	-426.11
10493.75	615.31	-456.4
10495.35	700.41	-500.8
10496.52	786.87	-542.5
10497.36	874.19	-582.38
10498.95	961.53	-622.19
10500.36	1048.47	-660.44
10502.2	1136.69	-698.25
10503.23	1165.11	-710.58
10504.82	1223.26	-734.78
10505.44	1252.97	-746.64
10506.37	1311.54	-769.83
10506.37	1402.01	-804.83
10506.37	1490.85	-838.49
10506.86	1579.17	-870.63
10507.37	1670.24	-901.02
10508.09	1731.03	-921
10508.51	1761.41	-931.05
10508.51	1822.34	-950.61
10508.37	1852.77	-960.53
10508.68	1883.09	-970.76
10509.23	1942.74	-991.01
10509.4	1973.04	-1001.32
10509.4	2033.62	-1021.95
10509.12	2063.95	-1032.16
10509.06	2124.46	-1052.99
10509.4	2215.73	-1085.85
10509.01	2275.79	-1107.95
10508.79	2305.78	-1119.1
10508.62	2364.7	-1141.42
10508.29	2394.69	-1152.58
10507.36	2485.01	-1185.09
10506.19	2575.35	-1217.53
10504.37	2664.78	-1249.55
10504.2	2754.66	-1283.25
10504.14	2814.61	-1305.66
10503.75	2844.8	-1316.26
